Freq.	V(vo)
1.30282209374905e+002	(-9.63731532473234e-003dB,-2.70084726979407e+000°)
1.30582240508139e+002	(-9.68171747020959e-003dB,-2.70705964788713e+000°)
1.30882962592819e+002	(-9.72632401861327e-003dB,-2.71328628087631e+000°)
1.31184377220160e+002	(-9.77113590931308e-003dB,-2.71952720123196e+000°)
1.31486485985039e+002	(-9.81615408598938e-003dB,-2.72578244149675e+000°)
1.31789290486009e+002	(-9.86137949663644e-003dB,-2.73205203428581e+000°)
1.32092792325304e+002	(-9.90681309359560e-003dB,-2.73833601228687e+000°)
1.32396993108846e+002	(-9.95245583356622e-003dB,-2.74463440826044e+000°)
1.32701894446257e+002	(-9.99830867763404e-003dB,-2.75094725503991e+000°)
1.33007497950866e+002	(-1.00443725912763e-002dB,-2.75727458553176e+000°)
1.33313805239714e+002	(-1.00906485444066e-002dB,-2.76361643271567e+000°)
1.33620817933572e+002	(-1.01371375113588e-002dB,-2.76997282964469e+000°)
1.33928537656937e+002	(-1.01838404709586e-002dB,-2.77634380944536e+000°)
1.34236966038053e+002	(-1.02307584064723e-002dB,-2.78272940531791e+000°)
1.34546104708909e+002	(-1.02778923057107e-002dB,-2.78912965053638e+000°)
1.34855955305255e+002	(-1.03252431609801e-002dB,-2.79554457844877e+000°)
1.35166519466607e+002	(-1.03728119691368e-002dB,-2.80197422247722e+000°)
1.35477798836258e+002	(-1.04205997316019e-002dB,-2.80841861611813e+000°)
1.35789795061283e+002	(-1.04686074543879e-002dB,-2.81487779294231e+000°)
1.36102509792553e+002	(-1.05168361480948e-002dB,-2.82135178659518e+000°)
1.36415944684738e+002	(-1.05652868279700e-002dB,-2.82784063079687e+000°)
1.36730101396321e+002	(-1.06139605138889e-002dB,-2.83434435934240e+000°)
1.37044981589603e+002	(-1.06628582304192e-002dB,-2.84086300610184e+000°)
1.37360586930714e+002	(-1.07119810067893e-002dB,-2.84739660502042e+000°)
1.37676919089620e+002	(-1.07613298769634e-002dB,-2.85394519011874e+000°)
1.37993979740133e+002	(-1.08109058796171e-002dB,-2.86050879549290e+000°)
1.38311770559920e+002	(-1.08607100582061e-002dB,-2.86708745531465e+000°)
1.38630293230512e+002	(-1.09107434609304e-002dB,-2.87368120383153e+000°)
1.38949549437312e+002	(-1.09610071408124e-002dB,-2.88029007536708e+000°)
1.39269540869605e+002	(-1.10115021556869e-002dB,-2.88691410432092e+000°)
1.39590269220564e+002	(-1.10622295682153e-002dB,-2.89355332516898e+000°)
1.39911736187264e+002	(-1.11131904459452e-002dB,-2.90020777246357e+000°)
1.40233943470687e+002	(-1.11643858612876e-002dB,-2.90687748083364e+000°)
1.40556892775733e+002	(-1.12158168915763e-002dB,-2.91356248498484e+000°)
1.40880585811227e+002	(-1.12674846190662e-002dB,-2.92026281969973e+000°)
1.41205024289930e+002	(-1.13193901309640e-002dB,-2.92697851983792e+000°)
1.41530209928547e+002	(-1.13715345194610e-002dB,-2.93370962033624e+000°)
1.41856144447738e+002	(-1.14239188817295e-002dB,-2.94045615620886e+000°)
1.42182829572124e+002	(-1.14765443199713e-002dB,-2.94721816254750e+000°)
1.42510267030298e+002	(-1.15294119414245e-002dB,-2.95399567452155e+000°)
1.42838458554834e+002	(-1.15825228584040e-002dB,-2.96078872737823e+000°)
1.43167405882295e+002	(-1.16358781882914e-002dB,-2.96759735644276e+000°)
1.43497110753246e+002	(-1.16894790536101e-002dB,-2.97442159711851e+000°)
1.43827574912257e+002	(-1.17433265819872e-002dB,-2.98126148488717e+000°)
1.44158800107917e+002	(-1.17974219062286e-002dB,-2.98811705530890e+000°)
1.44490788092843e+002	(-1.18517661643098e-002dB,-2.99498834402246e+000°)
1.44823540623687e+002	(-1.19063604994143e-002dB,-3.00187538674542e+000°)
1.45157059461146e+002	(-1.19612060599538e-002dB,-3.00877821927430e+000°)
1.45491346369973e+002	(-1.20163039995956e-002dB,-3.01569687748470e+000°)
1.45826403118985e+002	(-1.20716554772784e-002dB,-3.02263139733151e+000°)
1.46162231481071e+002	(-1.21272616572354e-002dB,-3.02958181484902e+000°)
1.46498833233203e+002	(-1.21831237090426e-002dB,-3.03654816615111e+000°)
1.46836210156448e+002	(-1.22392428076024e-002dB,-3.04353048743142e+000°)
1.47174364035972e+002	(-1.22956201331950e-002dB,-3.05052881496345e+000°)
1.47513296661053e+002	(-1.23522568715060e-002dB,-3.05754318510082e+000°)
1.47853009825089e+002	(-1.24091542136339e-002dB,-3.06457363427732e+000°)
1.48193505325609e+002	(-1.24663133561249e-002dB,-3.07162019900715e+000°)
1.48534784964281e+002	(-1.25237355009926e-002dB,-3.07868291588505e+000°)
1.48876850546922e+002	(-1.25814218557417e-002dB,-3.08576182158648e+000°)
1.49219703883507e+002	(-1.26393736334207e-002dB,-3.09285695286774e+000°)
1.49563346788182e+002	(-1.26975920525907e-002dB,-3.09996834656618e+000°)
1.49907781079269e+002	(-1.27560783373979e-002dB,-3.10709603960034e+000°)
1.50253008579275e+002	(-1.28148337175840e-002dB,-3.11424006897011e+000°)
1.50599031114909e+002	(-1.28738594285142e-002dB,-3.12140047175688e+000°)
1.50945850517084e+002	(-1.29331567111906e-002dB,-3.12857728512374e+000°)
1.51293468620929e+002	(-1.29927268122965e-002dB,-3.13577054631561e+000°)
1.51641887265801e+002	(-1.30525709842014e-002dB,-3.14298029265942e+000°)
1.51991108295291e+002	(-1.31126904850101e-002dB,-3.15020656156424e+000°)
1.52341133557238e+002	(-1.31730865785662e-002dB,-3.15744939052151e+000°)
1.52691964903733e+002	(-1.32337605344911e-002dB,-3.16470881710513e+000°)
1.53043604191136e+002	(-1.32947136282120e-002dB,-3.17198487897166e+000°)
1.53396053280079e+002	(-1.33559471409786e-002dB,-3.17927761386051e+000°)
1.53749314035482e+002	(-1.34174623598979e-002dB,-3.18658705959403e+000°)
1.54103388326557e+002	(-1.34792605779459e-002dB,-3.19391325407775e+000°)
1.54458278026821e+002	(-1.35413430940315e-002dB,-3.20125623530050e+000°)
1.54813985014108e+002	(-1.36037112129698e-002dB,-3.20861604133458e+000°)
1.55170511170574e+002	(-1.36663662455416e-002dB,-3.21599271033595e+000°)
1.55527858382710e+002	(-1.37293095085302e-002dB,-3.22338628054436e+000°)
1.55886028541352e+002	(-1.37925423247185e-002dB,-3.23079679028355e+000°)
1.56245023541691e+002	(-1.38560660229310e-002dB,-3.23822427796137e+000°)
1.56604845283281e+002	(-1.39198819380771e-002dB,-3.24566878207000e+000°)
1.56965495670051e+002	(-1.39839914111467e-002dB,-3.25313034118607e+000°)
1.57326976610316e+002	(-1.40483957892587e-002dB,-3.26060899397085e+000°)
1.57689290016783e+002	(-1.41130964256821e-002dB,-3.26810477917042e+000°)
1.58052437806567e+002	(-1.41780946798735e-002dB,-3.27561773561581e+000°)
1.58416421901196e+002	(-1.42433919174806e-002dB,-3.28314790222319e+000°)
1.58781244226623e+002	(-1.43089895104066e-002dB,-3.29069531799405e+000°)
1.59146906713238e+002	(-1.43748888368022e-002dB,-3.29826002201530e+000°)
1.59513411295874e+002	(-1.44410912811178e-002dB,-3.30584205345953e+000°)
1.59880759913823e+002	(-1.45075982341278e-002dB,-3.31344145158511e+000°)
1.60248954510840e+002	(-1.45744110929406e-002dB,-3.32105825573637e+000°)
1.60617997035159e+002	(-1.46415312610618e-002dB,-3.32869250534380e+000°)
1.60987889439498e+002	(-1.47089601483913e-002dB,-3.33634423992417e+000°)
1.61358633681074e+002	(-1.47766991712670e-002dB,-3.34401349908073e+000°)
1.61730231721611e+002	(-1.48447497524885e-002dB,-3.35170032250338e+000°)
1.62102685527349e+002	(-1.49131133213588e-002dB,-3.35940474996881e+000°)
1.62475997069059e+002	(-1.49817913136922e-002dB,-3.36712682134070e+000°)
1.62850168322048e+002	(-1.50507851718680e-002dB,-3.37486657656987e+000°)
1.63225201266174e+002	(-1.51200963448333e-002dB,-3.38262405569444e+000°)
1.63601097885853e+002	(-1.51897262881558e-002dB,-3.39039929884004e+000°)
1.63977860170071e+002	(-1.52596764640481e-002dB,-3.39819234621993e+000°)
1.64355490112395e+002	(-1.53299483413836e-002dB,-3.40600323813521e+000°)
1.64733989710985e+002	(-1.54005433957507e-002dB,-3.41383201497494e+000°)
1.65113360968598e+002	(-1.54714631094516e-002dB,-3.42167871721637e+000°)
1.65493605892607e+002	(-1.55427089715764e-002dB,-3.42954338542506e+000°)
1.65874726495008e+002	(-1.56142824779820e-002dB,-3.43742606025510e+000°)
1.66256724792427e+002	(-1.56861851313680e-002dB,-3.44532678244920e+000°)
1.66639602806138e+002	(-1.57584184412798e-002dB,-3.45324559283896e+000°)
1.67023362562067e+002	(-1.58309839241476e-002dB,-3.46118253234496e+000°)
1.67408006090808e+002	(-1.59038831033160e-002dB,-3.46913764197698e+000°)
1.67793535427629e+002	(-1.59771175090934e-002dB,-3.47711096283413e+000°)
1.68179952612487e+002	(-1.60506886787408e-002dB,-3.48510253610507e+000°)
1.68567259690037e+002	(-1.61245981565460e-002dB,-3.49311240306813e+000°)
