time	V(vo)
3.041074999997427e-004	9.960361e-001
3.051314999997588e-004	9.961113e-001
3.061554999997749e-004	9.961851e-001
3.071794999997911e-004	9.962574e-001
3.082034999998072e-004	9.963284e-001
3.092274999998233e-004	9.963980e-001
3.102514999998394e-004	9.964664e-001
3.112754999998556e-004	9.965334e-001
3.122994999998717e-004	9.965992e-001
3.133234999998878e-004	9.966637e-001
3.143474999999039e-004	9.967270e-001
3.153714999999201e-004	9.967890e-001
3.163954999999362e-004	9.968500e-001
3.174194999999523e-004	9.969097e-001
3.184434999999684e-004	9.969683e-001
3.194674999999845e-004	9.970258e-001
3.204915000000007e-004	9.970823e-001
3.215155000000168e-004	9.971376e-001
3.225395000000329e-004	9.971919e-001
3.235635000000490e-004	9.972452e-001
3.245875000000652e-004	9.972975e-001
3.256115000000813e-004	9.973487e-001
3.266355000000974e-004	9.973990e-001
3.276595000001135e-004	9.974483e-001
3.286835000001297e-004	9.974967e-001
3.297075000001458e-004	9.975442e-001
3.307315000001619e-004	9.975908e-001
3.317555000001780e-004	9.976365e-001
3.327795000001941e-004	9.976813e-001
3.338035000002103e-004	9.977253e-001
3.348275000002264e-004	9.977685e-001
3.358515000002425e-004	9.978108e-001
3.368755000002586e-004	9.978523e-001
3.378995000002748e-004	9.978931e-001
3.389235000002909e-004	9.979330e-001
3.399475000003070e-004	9.979722e-001
3.409715000003231e-004	9.980107e-001
3.419955000003393e-004	9.980485e-001
3.430195000003554e-004	9.980855e-001
3.440435000003715e-004	9.981218e-001
3.450675000003876e-004	9.981574e-001
3.460915000004037e-004	9.981924e-001
3.471155000004199e-004	9.982266e-001
3.481395000004360e-004	9.982603e-001
3.491635000004521e-004	9.982933e-001
3.501875000004682e-004	9.983257e-001
3.512115000004844e-004	9.983574e-001
3.522355000005005e-004	9.983886e-001
3.532595000005166e-004	9.984192e-001
3.542835000005327e-004	9.984491e-001
3.553075000005489e-004	9.984786e-001
3.563315000005650e-004	9.985074e-001
3.573555000005811e-004	9.985358e-001
3.583795000005972e-004	9.985635e-001
3.594035000006133e-004	9.985908e-001
3.604275000006295e-004	9.986175e-001
3.614515000006456e-004	9.986438e-001
3.624755000006617e-004	9.986694e-001
3.634995000006778e-004	9.986947e-001
3.645235000006940e-004	9.987195e-001
3.655475000007101e-004	9.987438e-001
3.665715000007262e-004	9.987676e-001
3.675955000007423e-004	9.987910e-001
3.686195000007585e-004	9.988139e-001
