Freq.	V(vout)
1.26182753459066e+002	(3.94385626401563e+000dB,-1.46319135696321e-002°)
1.26473634747114e+002	(3.94385626342447e+000dB,-1.46656436136830e-002°)
1.26765186585784e+002	(3.94385626283057e+000dB,-1.46994514135140e-002°)
1.27057410520853e+002	(3.94385626223395e+000dB,-1.47333371483707e-002°)
1.27350308101665e+002	(3.94385626163456e+000dB,-1.47673009979117e-002°)
1.27643880881134e+002	(3.94385626103242e+000dB,-1.48013431422103e-002°)
1.27938130415752e+002	(3.94385626042748e+000dB,-1.48354637617541e-002°)
1.28233058265601e+002	(3.94385625981976e+000dB,-1.48696630374476e-002°)
1.28528665994361e+002	(3.94385625920923e+000dB,-1.49039411506118e-002°)
1.28824955169313e+002	(3.94385625859589e+000dB,-1.49382982829857e-002°)
1.29121927361353e+002	(3.94385625797971e+000dB,-1.49727346167274e-002°)
1.29419584144998e+002	(3.94385625736069e+000dB,-1.50072503344151e-002°)
1.29717927098395e+002	(3.94385625673881e+000dB,-1.50418456190475e-002°)
1.30016957803328e+002	(3.94385625611406e+000dB,-1.50765206540453e-002°)
1.30316677845229e+002	(3.94385625548643e+000dB,-1.51112756232523e-002°)
1.30617088813183e+002	(3.94385625485591e+000dB,-1.51461107109356e-002°)
1.30918192299940e+002	(3.94385625422246e+000dB,-1.51810261017876e-002°)
1.31219989901920e+002	(3.94385625358610e+000dB,-1.52160219809260e-002°)
1.31522483219223e+002	(3.94385625294680e+000dB,-1.52510985338956e-002°)
1.31825673855640e+002	(3.94385625230455e+000dB,-1.52862559466686e-002°)
1.32129563418657e+002	(3.94385625165933e+000dB,-1.53214944056462e-002°)
1.32434153519466e+002	(3.94385625101114e+000dB,-1.53568140976592e-002°)
1.32739445772973e+002	(3.94385625035996e+000dB,-1.53922152099691e-002°)
1.33045441797808e+002	(3.94385624970576e+000dB,-1.54276979302689e-002°)
1.33352143216332e+002	(3.94385624904855e+000dB,-1.54632624466846e-002°)
1.33659551654643e+002	(3.94385624838831e+000dB,-1.54989089477755e-002°)
1.33967668742593e+002	(3.94385624772501e+000dB,-1.55346376225361e-002°)
1.34276496113786e+002	(3.94385624705866e+000dB,-1.55704486603960e-002°)
